Date,Object,Price,Location,Category,Object Type,Material,Seller,Link
2019-12-10 00:00:00,"Dec 10, 2019 1st 2nd CENTURY AD BRONZE ROMAN BRACELET /1038",10.0,Estonia,roman | ,jewellery | ,metal | ,numismatic.history.coins,https://www.ebay.com/itm/1st-2nd-CENTURY-AD-BRONZE-ROMAN-BRACELET-1038/153750859846?hash=item23cc43f046%3Ag%3AIssAAOSwI11d6PZy&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 3 Pirate Era - 1600's Early America Spanish Bronze Cobs Exact Lot Shown 3394",9.57,United States,america | ,?,metal | ,estatebureau,https://www.ebay.com/itm/3-Pirate-Era-1600s-Early-America-Spanish-Bronze-Cobs-Exact-Lot-Shown-3394/383304219214?hash=item593eb63a4e%3Ag%3AZOQAAOSwce1d6n9D&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 4 Ancient Roman Carnelian Beads Romans VERY RARE!  TOP !!",14.5,Germany,roman | ,jewellery | ,stone | ,caracalla10,https://www.ebay.com/itm/4-Ancient-Roman-Carnelian-Beads-Romans-VERY-RARE-TOP/143462760156?hash=item21670bfedc%3Ag%3ArVkAAOSwTpZd6TQY&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 4 Roman Gaming Pieces",13.72,United Kingdom,roman | china | ,household | ,?,del550,https://www.ebay.com/itm/4-Roman-Gaming-Pieces/153748499232?hash=item23cc1feb20%3Ag%3AdRgAAOSw7t9d5oXw&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 5 Ancient Neolithic Carnelian, Rock Crystal Beads, Stone Age, RARE!",9.5,Germany,pre-historic | ,?,stone | ,caracalla10,https://www.ebay.com/itm/5-Ancient-Neolithic-Carnelian-Rock-Crystal-Beads-Stone-Age-RARE/143462762725?hash=item21670c08e5%3Ag%3AwQQAAOSw7FFd6TU3&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 5 Ancient Neolithic Quartz, Carnelian Beads, Stone Age, RARE!",9.51,Germany,pre-historic | ,jewellery | ,stone | ,caracalla10,https://www.ebay.com/itm/5-Ancient-Neolithic-Quartz-Carnelian-Beads-Stone-Age-RARE/143462766032?hash=item21670c15d0%3Ag%3AKOgAAOSwPfBd6TXd&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 8 Ancient Neolithic Quartz Beads, Stone Age, RARE! TOP !!",13.01,Germany,pre-historic | ,jewellery | ,stone | ,caracalla10,https://www.ebay.com/itm/8-Ancient-Neolithic-Quartz-Beads-Stone-Age-RARE-TOP/153751118586?hash=item23cc47e2fa%3Ag%3AJyQAAOSwovJd6Tmi&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 8 Ancient Neolithic Rock Crystal Beads, Stone Age, RARE!",8.38,Germany,pre-historic | ,jewellery | ,stone | ,caracalla10,https://www.ebay.com/itm/8-Ancient-Neolithic-Rock-Crystal-Beads-Stone-Age-RARE/153751110575?hash=item23cc47c3af%3Ag%3A7fkAAOSwAUBd6TgK&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 8 COPIES OF ""INDIAN ARTIFACT MAGAZINE"" 2 COMPLETE YEARS 2002, 2003",15.5,United States,india | ,?,?,rocketflyer,https://www.ebay.com/itm/8-COPIES-OF-INDIAN-ARTIFACT-MAGAZINE-2-COMPLETE-YEARS-2002-2003/392534640703?hash=item5b64e3483f%3Ag%3A4dMAAOSwwp9dzCOn&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 A37.Greek style bronze figurine.Bull",20.0,Bulgaria,greek | ,statue | ,metal | ,axelina3,https://www.ebay.com/itm/A37-Greek-style-bronze-figurine-Bull/333430426147?hash=item4da2008a23%3Ag%3A9xYAAOSwmnFd7Uoz&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 Agateخاتم عقيق محفور طلتسم وحرز Spiritual Talisman Hars 925 Silver man ring10US",39.99,Bahrain,?,jewellery | religious | ,metal | ,manamafar,https://www.ebay.com/itm/Agate-Spiritual-Talisman-Hars-925-Silver-man-ring10US/123998130870?hash=item1cdedd52b6%3Ag%3A5wIAAOSwNx5dd9uR&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 ANCIENT BRONZE AMULET SWORD",17.0,Ukraine,?,religious | ,metal | ,tasya729,https://www.ebay.com/itm/ANCIENT-BRONZE-AMULET-SWORD/184068769718?hash=item2adb5a87b6%3Ag%3AMMoAAOSwffRd5rI1&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 ANCIENT BRONZE CELTIC AXE",89.0,Ukraine,celtic | ,weapon | ,metal | ,tasya729,https://www.ebay.com/itm/ANCIENT-BRONZE-CELTIC-AXE/184068779721?hash=item2adb5aaec9%3Ag%3Ah4UAAOSwZ3td5rRV&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 ANCIENT BRONZE CELTIC AXE #2",105.0,Ukraine,celtic | ,weapon | ,metal | ,tasya729,https://www.ebay.com/itm/ANCIENT-BRONZE-CELTIC-AXE-2/184068782569?hash=item2adb5ab9e9%3Ag%3ALo8AAOSwkold5rTZ&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 ancient bronze dagger",11.0,Russia,?,weapon | ,metal | ,petblino-0,https://www.ebay.com/itm/ancient-bronze-dagger/163975088661?hash=item262dad4a15%3Ag%3ANUAAAOSw30Jd6MBA&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 ANCIENT EGYPTIAN FAIENCE SCARAB SEAL IN A GOLD GILDED SWIVEL RING WEARABLE",53.59,United Kingdom,egyptian  | ,jewellery | tool | ,terracotta | metal | ,antiquiti,https://www.ebay.com/itm/ANCIENT-EGYPTIAN-FAIENCE-SCARAB-SEAL-IN-A-GOLD-GILDED-SWIVEL-RING-WEARABLE/153748307715?hash=item23cc1cff03%3Ag%3AvkYAAOSwLrtd5lOM&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 Ancient Greek Helmet Sculpture Grifon Spyridakis",4.99,United States,greek | ,weapon | ,?,flipflopflips,https://www.ebay.com/itm/Ancient-Greek-Helmet-Sculpture-Grifon-Spyridakis/153751452018?hash=item23cc4cf972%3Ag%3AuJAAAOSwX7BdShVG&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 ANCIENT PRE COLUMBIAN EFFIGY MAYAN  SCRIBE whistle",30.0,United States,america | ,tool | ,?,nativearrow7_2,https://www.ebay.com/itm/ANCIENT-PRE-COLUMBIAN-EFFIGY-MAYAN-SCRIBE-whistle/254442496336?hash=item3b3df46150%3Ag%3AI88AAOSwHfxdyzW0&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 Ancient Rare Authentic Viking Kievan Rus King Size Iron Battle Axe 10-12th AD",99.99,Ukraine,viking | russian | ,weapon | ,metal | ,abzantique,https://www.ebay.com/itm/Ancient-Rare-Authentic-Viking-Kievan-Rus-King-Size-Iron-Battle-Axe-10-12th-AD/223779004774?hash=item341a44a166%3Ag%3AOAIAAOSwcrJd2RKj&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 ANCIENT ROMAN BRONZE DECORATED MEDICAL OR HYGIENICAL TWEEZERS 200-300AD",11.11,United Kingdom,roman | ,tool | ,metal | ,antiquiti,https://www.ebay.com/itm/ANCIENT-ROMAN-BRONZE-DECORATED-MEDICAL-OR-HYGIENICAL-TWEEZERS-200-300AD/153748258963?hash=item23cc1c4093%3Ag%3A1mEAAOSwyuVd5kSF&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 Ancient Roman Bronze Fibula Brooch * Panther 1st - 4th AD",62.74,United Kingdom,roman | ,clothing | ,metal | ,neroclaudius7,https://www.ebay.com/itm/Ancient-Roman-Bronze-Fibula-Brooch-Panther-1st-4th-AD/293360302119?hash=item444da2f827%3Ag%3AH-YAAOSwOFZd5qn8&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 ANCIENT ROMAN BRONZE MEDICAL TOOL OR IMPLEMENT. 100-300AD",24.83,United Kingdom,roman | ,tool | ,metal | ,antiquiti,https://www.ebay.com/itm/ANCIENT-ROMAN-BRONZE-MEDICAL-TOOL-OR-IMPLEMENT-100-300AD/153748219264?hash=item23cc1ba580%3Ag%3AVt4AAOSwjjdd5jWt&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 Ancient Roman Celtic Silver Artifact Decoration Mythological ANIMAL VERY RARE",51.0,Russia,roman | celtic | ,decoration | ,metal | ,antic-mikhail,https://www.ebay.com/itm/Ancient-Roman-Celtic-Silver-Artifact-Decoration-Mythological-ANIMAL-VERY-RARE/184062443364?hash=item2adaf9ff64%3Ag%3A9WkAAOSw99Rd4lGT&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 Ancient Roman Celtic Silver Artifact Decoration Mythological BIRD VERY RARE",76.0,Russia,roman | celtic | ,decoration | ,metal | ,antic-mikhail,https://www.ebay.com/itm/Ancient-Roman-Celtic-Silver-Artifact-Decoration-Mythological-BIRD-VERY-RARE/184062445022?hash=item2adafa05de%3Ag%3A2P4AAOSwz1pd4lLf&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 ANCIENT ROMAN IMPERIAL LEGIONARY BRONZE RING 'SPQR' VERY RARE",53.59,United Kingdom,roman | ,jewellery | ,metal | ,antiquiti,https://www.ebay.com/itm/ANCIENT-ROMAN-IMPERIAL-LEGIONARY-BRONZE-RING-SPQR-VERY-RARE/153748316503?hash=item23cc1d2157%3Ag%3ARlMAAOSw8hRd5lXk&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 ANCIENT ROMAN IMPERIAL LEGIONARY BRONZE RING 'VESTA' VERY RARE",71.89,United Kingdom,roman | ,jewellery | ,metal | ,antiquiti,https://www.ebay.com/itm/ANCIENT-ROMAN-IMPERIAL-LEGIONARY-BRONZE-RING-VESTA-VERY-RARE/153748323673?hash=item23cc1d3d59%3Ag%3A0QoAAOSwAEhd5ldu&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 Ancient Roman Iron Arrowhead #12",4.0,Bulgaria,roman | ,weapon | ,metal | ,fromoldtimes,https://www.ebay.com/itm/Ancient-Roman-Iron-Arrowhead-12/223778898443?hash=item341a43020b%3Ag%3A4QQAAOSwBi5d5UBn&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 Ancient Roman Iron Arrowhead #13",3.0,Bulgaria,roman | ,weapon | ,metal | ,fromoldtimes,https://www.ebay.com/itm/Ancient-Roman-Iron-Arrowhead-13/223778898435?hash=item341a430203%3Ag%3ADSoAAOSwORhd5UIz&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 Ancient Roman Iron Arrowhead #14",2.0,Bulgaria,roman | ,weapon | ,metal | ,fromoldtimes,https://www.ebay.com/itm/Ancient-Roman-Iron-Arrowhead-14/223778898444?hash=item341a43020c%3Ag%3AbGEAAOSwW1Nd5ULz&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 Ancient Roman Iron Arrowhead #7",3.0,Bulgaria,roman | ,weapon | ,metal | ,fromoldtimes,https://www.ebay.com/itm/Ancient-Roman-Iron-Arrowhead-7/223778898446?hash=item341a43020e%3Ag%3Ag0QAAOSw8hRd5TBu&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 Ancient Roman Iron Arrowhead #8",1.0,Bulgaria,roman | ,weapon | ,metal | ,fromoldtimes,https://www.ebay.com/itm/Ancient-Roman-Iron-Arrowhead-8/223778898445?hash=item341a43020d%3Ag%3AbCUAAOSw%7E5Rd5TES&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 Ancient Roman Iron Knife #11",3.0,Bulgaria,roman | ,tool | weapon | ,metal | ,fromoldtimes,https://www.ebay.com/itm/Ancient-Roman-Iron-Knife-11/223778897684?hash=item341a42ff14%3Ag%3AXeUAAOSwWNZd5QZh&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 Ancient Roman Iron Knife #5",5.0,Bulgaria,roman | ,tool | weapon | ,metal | ,fromoldtimes,https://www.ebay.com/itm/Ancient-Roman-Iron-Knife-5/223778891507?hash=item341a42e6f3%3Ag%3Abt4AAOSw4pJd4Nwz&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 Ancient Roman Iron Knife #9",11.0,Bulgaria,roman | ,tool | weapon | ,metal | ,fromoldtimes,https://www.ebay.com/itm/Ancient-Roman-Iron-Knife-9/223778897683?hash=item341a42ff13%3Ag%3A5VoAAOSw1LJd5ObT&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 Ancient Roman Iron Small Arrowhead #11",5.0,Bulgaria,roman | ,weapon | ,metal | ,fromoldtimes,https://www.ebay.com/itm/Ancient-Roman-Iron-Small-Arrowhead-11/223778898434?hash=item341a430202%3Ag%3AuiIAAOSwD9Jd5T8B&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 ANCIENT ROMAN LONGSHOT BRONZE ARROWHEAD IMPERIAL ARTEFACT WAR RELIC",12.42,United Kingdom,roman | ,weapon | ,metal | ,antiquiti,https://www.ebay.com/itm/ANCIENT-ROMAN-LONGSHOT-BRONZE-ARROWHEAD-IMPERIAL-ARTEFACT-WAR-RELIC/153748255173?hash=item23cc1c31c5%3Ag%3AB2gAAOSwBDdd5kN0&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 Ancient Teracotta Paianted Bull Indus Valley 2000 BC NO RESERVE  #IGKL2556",35.0,Malaysia,?,?,?,sakk2014*14,https://www.ebay.com/itm/Ancient-Teracotta-Paianted-Bull-Indus-Valley-2000-BC-NO-RESERVE-IGKL2556/124006119759?hash=item1cdf57394f%3Ag%3ARW0AAOSwuMxdEMJw&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 Ancient Viking bronze bracelet tracery with ornament. REALLY RARE TYPE",16.01,Russia,viking | ,jewellery | decoration | ,metal | ,antic-mikhail,https://www.ebay.com/itm/Ancient-Viking-bronze-bracelet-tracery-with-ornament-REALLY-RARE-TYPE/184062434521?hash=item2adaf9dcd9%3Ag%3AuYkAAOSwFwNd4k7P&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 Ancient Viking bronze little cross Kyiv Rus 11-13 AD VERY RARE!",20.5,Russia,viking | russian | ,religious | ,metal | ,antic-mikhail,https://www.ebay.com/itm/Ancient-Viking-bronze-little-cross-Kyiv-Rus-11-13-AD-VERY-RARE/184062452705?hash=item2adafa23e1%3Ag%3AQbAAAOSwO-Rd4lTB&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 Ancient Viking Bronze on chain pendant AMULET *SUN* GREAT SAVE",16.5,Russia,viking | ,jewellery | religious | ,metal | ,antic-mikhail,https://www.ebay.com/itm/Ancient-Viking-Bronze-on-chain-pendant-AMULET-SUN-GREAT-SAVE/184062470484?hash=item2adafa6954%3Ag%3AhMMAAOSwxr1d4ljb&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 Ancient Viking Bronze pendant AMULET GREAT SAVE Very Rare",20.5,Russia,viking | ,jewellery | religious | ,metal | ,antic-mikhail,https://www.ebay.com/itm/Ancient-Viking-Bronze-pendant-AMULET-GREAT-SAVE-Very-Rare/184062478831?hash=item2adafa89ef%3Ag%3AMNAAAOSwNlld4ll7&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 Ancient Viking Bronze Ring Ornament "" WARRIOR IN ARMOR WITH WEAPONS "" SUPER RARE",64.0,Russia,viking | ,jewellery | weapon | decoration | ,metal | ,antic-mikhail,https://www.ebay.com/itm/Ancient-Viking-Bronze-Ring-Ornament-WARRIOR-IN-ARMOR-WITH-WEAPONS-SUPER-RARE/184062505127?hash=item2adafaf0a7%3Ag%3AsQ4AAOSwA2hd4l9O&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 Ancient Viking Large Bronze pendant AMULET ""SUN"" GREAT SAVE Rare Form",15.5,Russia,viking | ,jewellery | religious | ,metal | ,antic-mikhail,https://www.ebay.com/itm/Ancient-Viking-Large-Bronze-pendant-AMULET-SUN-GREAT-SAVE-Rare-Form/184062469152?hash=item2adafa6420%3Ag%3AMDAAAOSwv8Fd4lgw&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 Ancient Viking Old Bronze FABULOUS STATUS Ring Runic Ornament VERY RARE",14.5,Russia,viking | ,jewellery | decoration | ,metal | ,antic-mikhail,https://www.ebay.com/itm/Ancient-Viking-Old-Bronze-FABULOUS-STATUS-Ring-Runic-Ornament-VERY-RARE/184062498109?hash=item2adafad53d%3Ag%3A41UAAOSwl-Fd4l1X&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 Ancient Viking.Whole and broken crosses, rings, buckles and amulets 5-15 AD",103.0,Russia,viking | ,jewellery | religious | clothing | ,?,antic-mikhail,https://www.ebay.com/itm/Ancient-Viking-Whole-and-broken-crosses-rings-buckles-and-amulets-5-15-AD/184062431045?hash=item2adaf9cf45%3Ag%3AmdkAAOSwgitd4kvx&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 ANCIENT Vikings bronze cross of the 10-12th century. Original !!!",14.99,Ukraine,viking | ,religious | ,metal | ,ua2015.anato,https://www.ebay.com/itm/ANCIENT-Vikings-bronze-cross-of-the-10-12th-century-Original/264557590185?hash=item3d98dc76a9%3Ag%3AIToAAOSwLIZdvDDL&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 Antique  Indo Persian Mughal Short Sword Ottoman style Shamshir",61.0,United States,near east | ,?,?,sword-bayonet,https://www.ebay.com/itm/Antique-Indo-Persian-Mughal-Short-Sword-Ottoman-style-Shamshir/193235729675?hash=item2cfdbf3d0b%3Ag%3AIbwAAOSweoRd4wy6&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 antique brooch of a fibul",15.0,Russia,?,clothing | ,?,petblino-0,https://www.ebay.com/itm/antique-brooch-of-a-fibul/163975273894?hash=item262db01da6%3Ag%3AccoAAOSwHbld6Ont&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 Antique Egyptian Sarcophagus Ancient Middle Kingdom Funerary Ushabti Coffin B c",0.99,Egypt,egyptian  | ,statue | ,?,mahhas67,https://www.ebay.com/itm/Antique-Egyptian-Sarcophagus-Ancient-Middle-Kingdom-Funerary-Ushabti-Coffin-B-c/401983676192?hash=item5d98181f20%3Ag%3A3OkAAOSwRD5d1LLZ&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 Antique Persian TOP QUALITY POST SASSANIAN TO ISLAMIC TURQUOISE GLAZE VASE",399.9,Austria,islamic | near east | ,vessel | ,?,tribal*focus,https://www.ebay.com/itm/Antique-Persian-TOP-QUALITY-POST-SASSANIAN-TO-ISLAMIC-TURQUOISE-GLAZE-VASE/303389122154?hash=item46a3669e6a%3Ag%3A26AAAOSw7Z5diQ4f&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 ANTIQUE RARE 16-17th CENTURY LARGE BRONZE "" OLD BELIEVERS "" ORTHODOX *SUN* CROSS",8.0,Russia,?,religious | ,metal | ,antic-mikhail,https://www.ebay.com/itm/ANTIQUE-RARE-16-17th-CENTURY-LARGE-BRONZE-OLD-BELIEVERS-ORTHODOX-SUN-CROSS/184062460654?hash=item2adafa42ee%3Ag%3AQpwAAOSwu%7Eld4lXu&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 Antique roman jasper cylinder seal intaglio warrior bettle creatures roll bead",16.99,United States,roman | ,jewellery | tool | ,?,drstone786,https://www.ebay.com/itm/Antique-roman-jasper-cylinder-seal-intaglio-warrior-bettle-creatures-roll-bead/264553784139?hash=item3d98a2634b%3Ag%3ARnsAAOSw76pdmCgt&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 antique russian icon",29.0,Russia,russian | ,?,?,petblino-0,https://www.ebay.com/itm/antique-russian-icon/163975077337?hash=item262dad1dd9%3Ag%3AqdoAAOSwxgZd6Lxo&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 ARTIFACT   Pre-Columbian POLYCHROME  DESIGN BOWL/ POT  MAYAN or AZTEC",44.0,United States,america | roman | ,vessel | ,?,rodregimbal2011,https://www.ebay.com/itm/ARTIFACT-Pre-Columbian-POLYCHROME-DESIGN-BOWL-POT-MAYAN-or-AZTEC/312872755811?hash=item48d8ab6263%3Ag%3A%7EjcAAOSwhYNd5rh9&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 AUTHENTIC CAHOKIA STYLE DISCOIDAL FROM BLOUNT SPRINGS, ALABAMA, A.E. AVERY COLL",37.0,United States,?,?,?,rocketflyer,https://www.ebay.com/itm/AUTHENTIC-CAHOKIA-STYLE-DISCOIDAL-FROM-BLOUNT-SPRINGS-ALABAMA-A-E-AVERY-COLL/362812037203?hash=item5479485853%3Ag%3A9rIAAOSwZL5dzDJt&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 AUTHENTIC MEDIEVAL VIKING SILVER MEDIUM SIZE PENANNULAR OMEGA BROOCH VERY RARE",20.0,Russia,medieval | viking | ,clothing | ,metal | ,antic-mikhail,https://www.ebay.com/itm/AUTHENTIC-MEDIEVAL-VIKING-SILVER-MEDIUM-SIZE-PENANNULAR-OMEGA-BROOCH-VERY-RARE/184062438818?hash=item2adaf9eda2%3Ag%3AkQEAAOSw%7Eu5d4k%7EA&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 AUTHENTIC PRE COLUMBIAN MEZCALA STONE PERSON ANTIQUE BEAD 400 B.C.",35.0,United States,america | ,?,stone | ,ancient-artifacts,https://www.ebay.com/itm/AUTHENTIC-PRE-COLUMBIAN-MEZCALA-STONE-PERSON-ANTIQUE-BEAD-400-B-C/312875979731?hash=item48d8dc93d3%3Ag%3AX20AAOSwIHpd6aQa&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 BEAUTIFUL ANCIENT EGYPTIAN STONE CANOPIC JAR W/ HEIROGLYPHS",88.88,United Kingdom,egyptian  | ,vessel | ,stone | ,antiquiti,https://www.ebay.com/itm/BEAUTIFUL-ANCIENT-EGYPTIAN-STONE-CANOPIC-JAR-W-HEIROGLYPHS/153748214938?hash=item23cc1b949a%3Ag%3AvE8AAOSwd1dd5jQd&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 BEAUTIFUL ANCIENT EGYPTIAN STONE CARVED STATUETTE OF BASTET CAT WITH HEIROGLYPHS",53.58,United Kingdom,egyptian  | ,statue | religious | ,stone | ,antiquiti,https://www.ebay.com/itm/BEAUTIFUL-ANCIENT-EGYPTIAN-STONE-CARVED-STATUETTE-OF-BASTET-CAT-WITH-HEIROGLYPHS/153748192970?hash=item23cc1b3eca%3Ag%3AIWsAAOSwaZdd5i0M&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 BEAUTIFUL ANCIENT ROMAN BRONZE STAG FIBULA WITH ENAMELLED EYE 200-300AD",66.66,United Kingdom,roman | ,clothing | ,metal | ,antiquiti,https://www.ebay.com/itm/BEAUTIFUL-ANCIENT-ROMAN-BRONZE-STAG-FIBULA-WITH-ENAMELLED-EYE-200-300AD/153748266949?hash=item23cc1c5fc5%3Ag%3AIzQAAOSwxM5d5kb1&LH_Auction=1
2019-12-10 00:00:00,"Dec 10, 2019 BEAUTIFUL ANCIENT ROMAN LONGSHOT IMPERIAL BARBED ARROWHEAD CIRCA 300-400AD",24.83,United Kingdom,roman | ,weapon | ,?,antiquiti,https://www.ebay.com/itm/BEAUTIFUL-ANCIENT-ROMAN-LONGSHOT-IMPERIAL-BARBED-ARROWHEAD-CIRCA-300-400AD/153748254808?hash=item23cc1c3058%3Ag%3AzrgAAOSw6Fhd5kM5&LH_Auction=1
